HSCode,Commodity,Value,Date
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",18.09,12/1/2012
96,MISCELLANEOUS MANUFACTURED ARTICLES.,36.32,12/1/2012
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,9.33,12/1/2012
98,PROJECT GOODS; SOME SPECIAL USES.,6.13,12/1/2012
99,MISCELLANEOUS GOODS.,300.14,12/1/2012
1,LIVE ANIMALS.,1.23,1/1/2013
2,MEAT AND EDIBLE MEAT OFFAL.,374.62,1/1/2013
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",220.78,1/1/2013
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",39.2,1/1/2013
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",13.62,1/1/2013
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,5.59,1/1/2013
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,97.57,1/1/2013
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,113.68,1/1/2013
9,"COFFEE, TEA, MATE AND SPICES.",184.79,1/1/2013
10,CEREALS.,"1,029.55",1/1/2013
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,19.51,1/1/2013
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",145.22,1/1/2013
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",252.94,1/1/2013
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,5.98,1/1/2013
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,60.67,1/1/2013
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",9.4,1/1/2013
17,SUGARS AND SUGAR CONFECTIONERY.,55.46,1/1/2013
18,COCOA AND COCOA PREPARATIONS.,4.29,1/1/2013
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",32.9,1/1/2013
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",31.37,1/1/2013
21,MISCELLANEOUS EDIBLE PREPARATIONS.,38.5,1/1/2013
22,"BEVERAGES, SPIRITS AND VINEGAR.",25.52,1/1/2013
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,529.25,1/1/2013
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,65.63,1/1/2013
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",156.94,1/1/2013
26,"ORES, SLAG AND ASH.",184.89,1/1/2013
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","5,265.46",1/1/2013
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",99,1/1/2013
29,ORGANIC CHEMICALS,"1,095.88",1/1/2013
30,PHARMACEUTICAL PRODUCTS,856.41,1/1/2013
31,FERTILISERS.,4.17,1/1/2013
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",168.62,1/1/2013
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",117.45,1/1/2013
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",40.67,1/1/2013
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,23.15,1/1/2013
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,6.27,1/1/2013
