HSCode,Commodity,Value,Date
96,MISCELLANEOUS MANUFACTURED ARTICLES.,14.31,2/1/2007
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,4,2/1/2007
98,PROJECT GOODS; SOME SPECIAL USES.,132.97,2/1/2007
99,MISCELLANEOUS GOODS.,56.82,2/1/2007
1,LIVE ANIMALS.,0.06,3/1/2007
2,MEAT AND EDIBLE MEAT OFFAL.,0.02,3/1/2007
3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.23,3/1/2007
4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.32,3/1/2007
5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.49,3/1/2007
6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.49,3/1/2007
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,119.19,3/1/2007
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,56.63,3/1/2007
9,"COFFEE, TEA, MATE AND SPICES.",17.46,3/1/2007
10,CEREALS.,13.16,3/1/2007
11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,1.77,3/1/2007
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",10.7,3/1/2007
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",4.89,3/1/2007
14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.26,3/1/2007
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,182.34,3/1/2007
16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.12,3/1/2007
17,SUGARS AND SUGAR CONFECTIONERY.,4.1,3/1/2007
18,COCOA AND COCOA PREPARATIONS.,3.95,3/1/2007
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",1.27,3/1/2007
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",3.6,3/1/2007
21,MISCELLANEOUS EDIBLE PREPARATIONS.,3.18,3/1/2007
22,"BEVERAGES, SPIRITS AND VINEGAR.",9.4,3/1/2007
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,9.7,3/1/2007
24,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,0.82,3/1/2007
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",86.79,3/1/2007
26,"ORES, SLAG AND ASH.",482.16,3/1/2007
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.","5,413.08",3/1/2007
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",216.07,3/1/2007
29,ORGANIC CHEMICALS,547.25,3/1/2007
30,PHARMACEUTICAL PRODUCTS,68.38,3/1/2007
31,FERTILISERS.,84.01,3/1/2007
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",53.18,3/1/2007
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",19.73,3/1/2007
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",20.82,3/1/2007
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,9.45,3/1/2007
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,0.88,3/1/2007
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,27.32,3/1/2007
38,MISCELLANEOUS CHEMICAL PRODUCTS.,121.3,3/1/2007
39,PLASTIC AND ARTICLES THEREOF.,283.52,3/1/2007
40,RUBBER AND ARTICLES THEREOF.,121.38,3/1/2007
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,35.62,3/1/2007
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",3.91,3/1/2007
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.15,3/1/2007
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,119.83,3/1/2007
45,CORK AND ARTICLES OF CORK.,0.49,3/1/2007
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.05,3/1/2007
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,66.63,3/1/2007
