Date,HSCode,Commodity_x,Import_Value,Commodity_y,Export_Value
2007-01-01,86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",14.98,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",1.65
2007-01-01,87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",101.82,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",312.19
2007-01-01,88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",556.22,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",8.74
2007-01-01,89,"SHIPS, BOATS AND FLOATING STRUCTURES.",238.69,"SHIPS, BOATS AND FLOATING STRUCTURES.",112.74
2007-01-01,90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",228.57,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",60.25
2007-01-01,91,CLOCKS AND WATCHES AND PARTS THEREOF.,8.08,CLOCKS AND WATCHES AND PARTS THEREOF.,3.23
2007-01-01,92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,1.09,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.59
2007-01-01,93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.36,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.1
2007-01-01,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",36.61,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",40.85
2007-01-01,95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",11.55,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",8.91
2007-01-01,96,MISCELLANEOUS MANUFACTURED ARTICLES.,14.81,MISCELLANEOUS MANUFACTURED ARTICLES.,14.53
2007-01-01,97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,2.18,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,31.73
2007-01-01,98,PROJECT GOODS; SOME SPECIAL USES.,167.65,PROJECT GOODS; SOME SPECIAL USES.,2.87
2007-01-01,99,MISCELLANEOUS GOODS.,16.42,MISCELLANEOUS GOODS.,49.57
2007-02-01,1,LIVE ANIMALS.,0.42,LIVE ANIMALS.,0.66
2007-02-01,2,MEAT AND EDIBLE MEAT OFFAL.,0.01,MEAT AND EDIBLE MEAT OFFAL.,69.29
2007-02-01,3,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",1.15,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",98.43
2007-02-01,4,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",1.14,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",17.05
2007-02-01,5,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1.0,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",2.99
2007-02-01,6,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.52,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,13.48
2007-02-01,7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,74.0,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,45.36
2007-02-01,8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,56.79,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,64.08
2007-02-01,9,"COFFEE, TEA, MATE AND SPICES.",12.42,"COFFEE, TEA, MATE AND SPICES.",95.93
2007-02-01,10,CEREALS.,66.72,CEREALS.,150.91
2007-02-01,11,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,0.86,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,6.62
2007-02-01,12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",9.22,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",60.48
2007-02-01,13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",4.46,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",33.0
2007-02-01,14,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,0.28,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,2.7
2007-02-01,15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,146.75,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,27.83
2007-02-01,16,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",0.08,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",11.27
